SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0134    2058,1,1,B,Reinf Concr,50,Very Good,BR,Brick,8,0,2012/12/27 00:00:00+00,182000,U,1964,1978,1964,1,324,58,88,2023/10/10 05:16:33+00,21215347
0134    2059,1,1,B,Reinf Concr,50,Very Good,BR,Brick,8,0,2005/05/04 00:00:00+00,320000,U,1964,1978,1964,1,338,58,88,2023/10/10 05:16:33+00,21215348
0134    2060,1,1,B,Reinf Concr,50,Very Good,BR,Brick,8,0,2005/05/04 00:00:00+00,320000,U,1964,1978,1964,1,330,58,88,2023/10/10 05:16:33+00,21215349
0135    0004,1,1,C,Brick/Concr,40,Good,BR,Brick,10,314,2010/04/07 00:00:00+00,0,U,1947,2009,1993,1,192274,32,24270,2023/10/10 05:16:33+00,21215350
0135    0005,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1892,1983,1977,1,24754,34,8614,2023/10/10 05:16:33+00,21215351
0135    0006,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,0,1986,1987,1,10404,85,2535,2023/10/10 05:16:33+00,21215352
0136    0001,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1900,,2000,1,22935,85,10620,2023/10/10 05:16:33+00,21215353
0136    0010,1,1,C,Brick/Concr,45,Good +,BR,Brick,8,1,2019/06/28 00:00:00+00,3350000,Q,1963,,1995,3,4546,42,1545,2023/10/10 05:16:33+00,21215354
0136    0026,1,1,C,Brick/Concr,60,Excellent,BR,Brick,9,,1900/01/01 00:00:00+00,,U,1890,1991,1988,1,9095,42,2275,2023/10/10 05:16:33+00,21215355
0136    0027,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,0,1999/06/01 00:00:00+00,975000,Q,1900,,1989,1,4353,85,1419,2023/10/10 05:16:33+00,21215356
0136    0028,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,9,,2004/08/02 00:00:00+00,1580000,Q,1959,,1987,1,4453,42,1399,2023/10/10 05:16:33+00,21215357
0136    0032,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1912,,1995,1,17532,85,4900,2023/10/10 05:16:33+00,21215358
0136    0033,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,,1997/11/12 00:00:00+00,0,U,1890,1978,1980,1,9337,85,4284,2023/10/10 05:16:33+00,21215359
0136    0034,1,1,LR,Low Rise,50,Very Good,BR,Brick,10,92,2014/06/24 00:00:00+00,20000000,Q,1890,2017,2000,2,21465,22,13853,2023/10/10 05:16:33+00,21215360
0136    0034,2,1,HR,High Rise,60,Excellent,BR,Brick,10,92,2014/06/24 00:00:00+00,20000000,Q,2017,,2017,2,29454,22,13853,2023/10/10 05:16:33+00,21258241
0136    0035,1,1,B,Reinf Concr,30,Average,BV,Brick Veneer,10,,2014/09/24 00:00:00+00,25810000,Q,1974,1992,1974,4,171077,52,19098,2023/10/10 05:16:33+00,21258242
0136    0036,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,2006/09/13 00:00:00+00,4000000,Q,1957,2007,2005,1,8510,42,2388,2023/10/10 05:16:33+00,21258243
0136    0802,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,2007/07/03 00:00:00+00,3184500,U,1900,,1990,1,4746,85,2000,2023/10/10 05:16:33+00,21258244
0136    0806,1,1,C,Brick/Concr,60,Excellent,BR,Brick,9,,1997/11/12 00:00:00+00,0,U,1890,1947,1985,1,8500,85,2104,2023/10/10 05:16:33+00,21258245
0136    0807,1,1,C,Brick/Concr,60,Excellent,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1900,1962,1989,1,16500,51,5575,2023/10/10 05:16:33+00,21258246
0137    0012,1,1,C,Brick/Concr,45,Good +,0,Typical,12,,1900/01/01 00:00:00+00,,U,1912,1962,1982,1,9539,51,2600,2023/10/10 05:16:33+00,21258247
0137    0013,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,2001/01/01 00:00:00+00,0,U,1962,1992,1975,1,2264,61,2610,2023/10/10 05:16:33+00,21258248
0137    0043,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,2021/12/27 00:00:00+00,3000000,Q,1909,1960,1984,2,7822,51,2277,2023/10/10 05:16:33+00,21258249
0137    0049,1,1,B,Reinf Concr,40,Good,BR,Brick,12,,2022/11/18 00:00:00+00,0,U,1928,,1981,2,5484,45,1890,2023/10/10 05:16:33+00,21258250
0137    0052,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2012/12/31 00:00:00+00,0,U,1928,2017,1984,1,8928,41,2757,2023/10/10 05:16:33+00,21258251
0137    0054,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2010/03/19 00:00:00+00,5400000,Q,1923,,1989,1,16848,42,5527,2023/10/10 05:16:33+00,21258252
0137    0056,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2003/12/12 00:00:00+00,61000000,Q,1978,,1993,1,185604,52,29054,2023/10/10 05:16:33+00,21258253
0137    0057,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2018/04/27 00:00:00+00,0,U,1920,,1990,2,8076,51,2235,2023/10/10 05:16:33+00,21258254
0137    0058,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,2012/12/31 00:00:00+00,0,U,1928,,1985,1,8908,42,2625,2023/10/10 05:16:33+00,21258255
0137    0060,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2015/06/23 00:00:00+00,0,U,1922,2017,1965,2,8415,42,2586,2023/10/10 05:16:33+00,21258256
0137    0805,1,1,C,Brick/Concr,45,Good +,BR,Brick,12,,2004/01/08 00:00:00+00,3450000,Q,1912,1984,1998,1,10379,51,3150,2023/10/10 05:16:33+00,21258257
0137    0817,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,2016/02/11 00:00:00+00,0,U,1912,,1960,2,4396,42,1515,2023/10/10 05:16:33+00,21258258
0137    0820,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2023/04/28 00:00:00+00,0,U,1928,,1967,2,5158,45,2145,2023/10/10 05:16:33+00,21258259
0137    0821,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2012/09/12 00:00:00+00,820000,U,1928,,1998,1,4923,42,1450,2023/10/10 05:16:33+00,21258260
0137    0825,1,1,0,No Data,0,Default,,,,0,2020/10/27 00:00:00+00,32433400,U,2008,,2008,3,0,52,7512,2023/10/10 05:16:33+00,21258261
0137    0826,1,1,C,Brick/Concr,55,Very Good +,,,12,0,2020/10/27 00:00:00+00,32433400,U,2008,,2009,3,5545,42,1562,2023/10/10 05:16:33+00,21258262
0137    0827,1,1,C,Brick/Concr,10,Poor,BR,Brick,,,2014/07/10 00:00:00+00,0,U,,,1934,1,27880,52,7799,2023/10/10 05:16:33+00,21258263
0137    0828,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,1900/01/01 00:00:00+00,0,U,1870,1951,1985,1,15074,51,6189,2023/10/10 05:16:33+00,21258264
0137    7000,1,1,,,,,,,,,2014/05/12 00:00:00+00,2200000,U,,,1924,2,5509,52,0,2023/10/10 05:16:33+00,21258265
0137N   0800,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,1,1900/01/01 00:00:00+00,,U,1901,2004,1949,1,25836,34,5673,2023/10/10 05:16:33+00,21258266
0138    0013,1,1,C,Brick/Concr,40,Good,0,Typical,12,,2023/07/25 00:00:00+00,39300000,Q,1926,1987,1997,4,239502,52,20267,2023/10/10 05:16:33+00,21258267
0138    0803,1,1,B,Reinf Concr,50,Very Good,BR,Brick,10,,2004/04/01 00:00:00+00,86606000,U,1984,,1995,1,255095,52,31974,2023/10/10 05:16:33+00,21258268
0138    0804,1,1,B,Reinf Concr,50,Very Good,BV,Brick Veneer,10,,2009/03/11 00:00:00+00,63600000,Q,1956,1993,1997,1,147560,52,18447,2023/10/10 05:16:33+00,21258269
0139    0004,1,1,C,Brick/Concr,40,Good,BV,Brick Veneer,12,,2021/08/05 00:00:00+00,2675000,Q,1889,1986,1980,3,4144,49,2120,2023/10/10 05:16:33+00,21258270
0139    0005,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2004/09/01 00:00:00+00,0,U,1924,,1977,1,5344,45,2120,2023/10/10 05:16:33+00,21258271
0139    0006,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1889,1949,1970,1,6836,42,2120,2023/10/10 05:16:33+00,21258272
0139    0007,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2010/07/16 00:00:00+00,0,U,1889,1987,1977,1,6350,45,2120,2023/10/10 05:16:33+00,21258273
0139    0008,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1917,,1982,1,5200,45,2120,2023/10/10 05:16:33+00,21258274
0139    0011,1,1,C,Brick/Concr,35,Average +,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1900,1961,1984,1,3888,45,2120,2023/10/10 05:16:33+00,21258275
0139    0015,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,2004/04/16 00:00:00+00,4800000,Q,1890,1984,1987,1,10294,51,2650,2023/10/10 05:16:33+00,21258276
0139    0016,1,1,C,Brick/Concr,35,Average +,BR,Brick,10,,2019/12/18 00:00:00+00,0,U,1900,1987,1994,3,7872,51,2120,2023/10/10 05:16:33+00,21258277
0139    0025,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,10,,2014/12/22 00:00:00+00,0,U,1900,1984,1987,2,6893,51,2120,2023/10/10 05:16:33+00,21258278
0139    0028,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,2016/11/21 00:00:00+00,3800000,Q,1837,2017,1982,3,5228,51,2384,2023/10/10 05:16:33+00,21258279
0139    0029,1,1,C,Brick/Concr,45,Good +,BR,Brick,10,,2022/03/29 00:00:00+00,2000000,Q,1954,1981,2000,2,5365,51,1840,2023/10/10 05:16:33+00,21258280
